	CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM	kg_ids_groundtruth
0	35	400	42370	166164	Amino Acid	Glutamate Metabolism	64.0	NAMED	DWAKNKKXGALPNW-UHFFFAOYSA-N	OC(C1CCC=N1)=O	S-1-pyrroline-5-carboxylate	S-1-pyrroline-5-carboxylate				2906-39-0	10140206	HMDB0001301	C04322	11966181	Pos Early	['CHEBI:1372', 'CHEBI:17388', 'CHEBI:371']
1	50	400	485	155305	Amino Acid	Polyamine Metabolism	556.0	NAMED	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN	spermidine	spermidine				124-20-9	1071	HMDB0001257	C00315	1102	Pos Early	['CHEBI:16610']
2	55	400	27665	155829	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4531.0	NAMED	LDHMAVIPBRSVRG-UHFFFAOYSA-N	C[N+]1=CC(C([NH-])=O)=CC=C1	1-methylnicotinamide	1-methylnicotinamide				1005-24-9	8305504	HMDB0000699	C02918	457	Pos Early	['CHEBI:16797']
3	93	305	528	146398	Energy	TCA Cycle	1486.0	NAMED	KPGXRSRHYNQIFN-UHFFFAOYSA-N	O=C(C(O)=O)CCC(O)=O	alpha-ketoglutarate	alpha-ketoglutarate				328-50-7,22202-68-2,305-72-6	50	HMDB0000208	C00026	51	Polar	['CHEBI:30915']
4	98	209	1417	124553	Amino Acid	Tryptophan Metabolism	280.0	NAMED	HCZHHEIFKROPDY-UHFFFAOYSA-N	OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1	kynurenate	kynurenate				492-27-3	3712	HMDB0000715	C01717	3845	Neg	['CHEBI:18344']
5	111	305	1549	147711	Amino Acid	Leucine, Isoleucine and Valine Metabolism	436.0	NAMED	DBXBTMSZEOQQDU-UHFFFAOYSA-N	CC(C(O)=O)CO	3-hydroxyisobutyrate	3-hydroxyisobutyrate				2068-83-9	10140307	HMDB0000023,HMDB0000336	C01188,C06001	11966314	Polar	['CHEBI:195651', 'CHEBI:37373', 'CHEBI:11805']
6	112	305	531	146400	Lipid	Mevalonate Metabolism	3240.0	NAMED	NPOAOTPXWNWTSH-UHFFFAOYSA-N	CC(CC(O)=O)(CC(O)=O)O	3-hydroxy-3-methylglutarate	3-hydroxy-3-methylglutarate				503-49-1	4573695	HMDB0000355	C03761	1662,5459993	Polar	['CHEBI:16831', 'CHEBI:17325']
7	132	400	1414	155361	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1277.0	NAMED	OSJPPGNTCRNQQC-UHFFFAOYSA-N	OC(C(O)=O)COP(O)(O)=O	3-phosphoglycerate	3-phosphoglycerate				80731-10-8	10669764	HMDB0000807	C00597	724	Pos Early	['CHEBI:17050']
8	136	209	22842	124689	Lipid	Primary Bile Acid Metabolism	3522.0	NAMED	BHQCQFFYRZLCQQ-OLRQUHAPSA-N	O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1	cholate	cholate				81-25-4		HMDB0000619	C00695	221493	Neg	['CHEBI:16359']
9	158	209	1418	123205	Nucleotide	Pyrimidine Metabolism, Thymine containing	4495.0	NAMED	NBAKTGXDIBVZOO-UHFFFAOYSA-N	O=C(NCC1C)NC1=O	5,6-dihydrothymine	5,6-dihydrothymine				696-04-8	84456	HMDB0000079	C00906	93556	Neg	['UNII:8W199O5S7F', 'CHEBI:27468']
